Tree,GroupParent,GroupRead,GroupModify,GroupDescription,RealPath,,,,,,
\2_SZKK\24_VEZETES\TAMOGATAS\,ACCELMU-NKM-KSG-2_SZKK-24_VEZETES-READ,ACCELMU-NKM-KSG-2_SZKK-24_VEZETES-TAMOGATAS-READ,ACCELMU-NKM-KSG-2_SZKK-24_VEZETES-TAMOGATAS-MOD,\\aekpfp01\KSG\2_SZKK\24_VEZETES\TAMOGATAS\,M:\MNT-NKM-KSG\2_SZKK\24_VEZETES\TAMOGATAS\,,,,,,
\3_USZI,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-3_USZI-READ,empty,\\aekpfp01\KSG\3_USZI,M:\MNT-NKM-KSG\3_USZI,,,,,,
\3_USZI\31_VEZETES,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-31_VEZETES-READ,empty,\\aekpfp01\KSG\3_USZI\31_VEZETES,M:\MNT-NKM-KSG\3_USZI\31_VEZETES,,,,,,
\3_USZI\32_SUPERV,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-32_SUPERV-READ,empty,\\aekpfp01\KSG\3_USZI\32_SUPERV,M:\MNT-NKM-KSG\3_USZI\32_SUPERV,,,,,,
\3_USZI\33_MENTOR,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-33_MENTOR-READ,empty,\\aekpfp01\KSG\3_USZI\33_MENTOR,M:\MNT-NKM-KSG\3_USZI\33_MENTOR,,,,,,
\3_USZI\34_KOZPONTI,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-34_KOZPONTI-READ,empty,\\aekpfp01\KSG\3_USZI\34_KOZPONTI,M:\MNT-NKM-KSG\3_USZI\34_KOZPONTI,,,,,,
\3_USZI\35_DELBUDA,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-35_DELBUDA-READ,empty,\\aekpfp01\KSG\3_USZI\35_DELBUDA,M:\MNT-NKM-KSG\3_USZI\35_DELBUDA,,,,,,
\3_USZI\36_EBUDA,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-36_EBUDA-READ,empty,\\aekpfp01\KSG\3_USZI\36_EBUDA,M:\MNT-NKM-KSG\3_USZI\36_EBUDA,,,,,,
\3_USZI\37_DPEST,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-37_DPEST-READ,empty,\\aekpfp01\KSG\3_USZI\37_DPEST,M:\MNT-NKM-KSG\3_USZI\37_DPEST,,,,,,
\3_USZI\38_EPEST,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-38_EPEST-READ,empty,\\aekpfp01\KSG\3_USZI\38_EPEST,M:\MNT-NKM-KSG\3_USZI\38_EPEST,,,,,,
\3_USZI\39_KPEST,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-39_KPEST-READ,empty,\\aekpfp01\KSG\3_USZI\39_KPEST,M:\MNT-NKM-KSG\3_USZI\39_KPEST,,,,,,
\3_USZI\310_MISKOL,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-310_MISKOL-READ,empty,\\aekpfp01\KSG\3_USZI\310_MISKOL,M:\MNT-NKM-KSG\3_USZI\310_MISKOL,,,,,,
\3_USZI\311_STARJA,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-311_STARJA-READ,empty,\\aekpfp01\KSG\3_USZI\311_STARJA,M:\MNT-NKM-KSG\3_USZI\311_STARJA,,,,,,
\3_USZI\312_EGER,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-312_EGER-READ,empty,\\aekpfp01\KSG\3_USZI\312_EGER,M:\MNT-NKM-KSG\3_USZI\312_EGER,,,,,,
\3_USZI\313_SZEREN,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-313_SZEREN-READ,empty,\\aekpfp01\KSG\3_USZI\313_SZEREN,M:\MNT-NKM-KSG\3_USZI\313_SZEREN,,,,,,
\3_USZI\314_GYONGY,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-314_GYONGY-READ,empty,\\aekpfp01\KSG\3_USZI\314_GYONGY,M:\MNT-NKM-KSG\3_USZI\314_GYONGY,,,,,,
\3_USZI\315_KOZOS,ACCELMU-NKM-KSG-3_USZI-READ,ACCELMU-NKM-KSG-3_USZI-315_KOZOS-READ,empty,\\aekpfp01\KSG\3_USZI\315_KOZOS,M:\MNT-NKM-KSG\3_USZI\315_KOZOS,,,,,,
\3_USZI\316_SCAN\KPREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-KPREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-KPREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\KPREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\KPREGIO\,,,,,,
\3_USZI\316_SCAN\DBUDAREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-DBUDAREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-DBUDAREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\DBUDAREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\DBUDAREGIO\,,,,,,
\3_USZI\316_SCAN\EBUDAREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-EBUDAREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-EBUDAREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\EBUDAREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\EBUDAREGIO\,,,,,,
